,,,,,,,,,첫날,,,,,,
순위,영화명,개봉일,총 매출액,매출액 점유율, 총 관객수,총 스크린수,총 상영횟수,,첫날 관객수,첫날 매출액,첫날 스크린수,첫날 상영횟수,,마지막 상영날짜 (상영종료일),총 상영 일수 (Days)
1,주토피아 2,2025-11-26,"74,124,615,600",7.1%,"7,705,705","2,383","225,616",,309168,2512128050,2084,8027,,2026-02-09,75
2,극장판 귀멸의 칼날: 무한성편,2025-08-22,"61,320,501,650",5.9%,"5,691,838","2,298","205,026",,517922,6104066140,2298,8510,,2025-11-05,75
3,좀비딸,2025-07-30,"53,134,924,990",5.1%,"5,639,963","1,598","188,861",,430087,3692488880,1557,6668,,2025-10-13,75
4,F1 더 무비,2025-06-25,"54,936,886,370",5.2%,"5,214,567","1,665","195,973",,82917,789270870,1665,5279,,2025-09-08,75
5,아바타: 불과 재,2025-12-17,"52,409,899,290",5.0%,"4,569,538","2,582","102,298",,265031,2950290960,2582,8143,,2026-02-11,56
6,극장판 체인소 맨: 레제편,2025-09-24,"36,069,079,810",3.4%,"3,431,785","1,064","164,638",,108722,917580340,2557,829,,2025-11-19,56
7,미션 임파서블: 파이널 레코닝,2025-05-17,"33,259,841,900",3.2%,"3,392,542","2,385","150,433",,423889,4292416710,2385,8835,,2025-07-12,56
8,야당,2025-04-16,"32,004,168,430",3.1%,"3,378,276","1,850","184,070",,104548,958487840,1683,6786,,2025-06-11,56
9,미키 17,2025-02-28,"29,709,170,100",2.8%,"3,013,854","2,153","158,030",,254393,2547448920,2151,8758,,2025-04-25,56
10,어쩔수가없다,2025-09-24,"28,769,135,430",2.7%,"2,942,778","2,114","126,888",,354648,2916047760,2114,7378,,2025-11-05,42
11,히트맨2,2025-01-22,"23,984,663,200",2.3%,"2,547,598","1,588","118,863",,100621,946506740,1375,5598,,2025-03-05,42
12,보스,2025-10-03,"23,392,525,050",2.2%,"2,437,494","1,296","97,534",,244156,2344094190,1163,5416,,2025-11-14,42
13,쥬라기 월드: 새로운 시작,2025-07-02,"21,213,614,760",2.0%,"2,225,181","1,645","87,873",,151106,1438103560,1565,5814,,2025-08-13,42
,,,,,,,,,,,,,,,
15,승부,2025-03-26,"20,044,959,660",1.9%,"2,146,672","1,773","148,929",,91471,748720480,1638,6650,,2025-05-07,42
16,하이파이브,2025-05-30,"17,545,923,020",1.7%,"1,893,663","1,343","101,532",,85265,792267300,1091,3839,,2025-07-11,42
17,드래곤 길들이기,2025-06-06,"17,971,760,490",1.7%,"1,792,590","1,650","93,146",,226291,2285852730,1650,6706,,2025-07-18,42
18,노이즈,2025-06-25,"16,758,897,410",1.6%,"1,707,629","1,001","72,287",,30311,253817520,688,1464,,2025-08-06,42
19,검은 수녀들,2025-01-24,"16,134,349,980",1.5%,"1,670,559","1,662","84,463",,181384,1721043820,1662,7298,,2025-03-07,42
20,캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,"16,372,717,086",1.6%,"1,654,160","1,901","119,989",,123237,1235188390,1766,7937,,2025-03-26,42
21,나우 유 씨 미 3,2025-11-12,"12,981,489,790",1.2%,"1,371,650","1,352","75,802",,82300,762366540,1261,5132,,2025-12-24,42
22,A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,"12,742,955,670",1.2%,"1,358,466","1,450","55,873",,185890,1767137970,1420,7097,,2025-06-07,42
23,킹 오브 킹스,2025-07-16,"12,427,413,626",1.2%,"1,317,978","1,191","52,334",,37732,345561430,850,2076,,2025-08-27,42
24,얼굴,2025-09-11,"11,012,986,870",1.1%,"1,076,611","1,114","62,686",,35018,343731750,940,3368,,2025-10-23,42
25,전지적 독자 시점,2025-07-23,"10,055,229,360",1.0%,"1,061,261","1,581","52,084",,122476,1135914640,1581,6708,,2025-09-03,42
26,위키드: 포 굿,2025-11-19,"9,857,329,790",0.9%,"965,959","1,700","61,109",,108146,1103970760,1699,5740,,2025-12-17,35
